model,accuracy,precision,recall,f1_score,roc_auc,training_time_seconds,run_id
logistic_regression,0.814,0.6404494382022472,0.27014218009478674,0.38,0.7797319782074617,0.007232031000057759,e41f9cebb82b494cb09c0e39025e5ea1
gradient_boosting,0.809,0.6515151515151515,0.2037914691943128,0.3104693140794224,0.7653427759657374,0.6260632509997777,b3284a9e32aa45acaa6f2f5332f58ce6
random_forest,0.81,0.64,0.22748815165876776,0.3356643356643357,0.7588764949332949,0.41801140799998393,7154f41c86d242358751de1858ce373d
